mw_name	ls_id	ll_id	email_id	lat	lng	elev_m	date_of_last_dtw_measurement	dtw_m	wat_elev	baro_adj_wat_level	cable_length	ll_subtracts_95_m			
MW_22	284217	1065731	lawr-ls6	38.29183	-121.391	5.89	10/12/2018 14:54	6.367272	-0.477272	3.8559631	10.2232351	F			
MW_5	283687	1055097	lawr-ls4	38.30965	-121.376	9.2	10/12/2018 11:31	9.73836	-0.53836	6.3700245	16.1083845	T	Level	Baro	
MW_9	284220	1065751	lawr-ls5	38.30505	-121.381	7.71	9/3/2019 13:52	6.035039807	1.674960193	4.19874775	10.23378756	F	14.5163	10.31755225	4.19874775
MW_DR1	284227	2083804	lawr-ls1	38.379167	-121.319444	19.2	10/12/2018 16:03	13.53312	5.66688	3.0200245	16.5531445	F			
MW_11	284216	1054511	lawr-ls3	38.30488	-121.369	6.884	10/12/2018 10:52	8.59	-1.706	0.4800245	9.0700245	T			
Rooney_1	284215	2083818	lawr-ls7	38.479753	-121.201075	30.7848	10/22/2018 15:05	24.11	6.68	6.7500245	30.8600245	F			
UCD_26	284197	2083818	lawr-ls8	38.44674	-121.22238	28.956	6/7/2019 15:02	29.28213506	-0.326135063	2.82415	32.10628506	F			
MW_405	284221	2083817	lawr-ls9	38.441858	-121.451772	8.128	10/12/2018 12:03	7.86	0.27	9.9985047	17.8585047	F			
MW_19	284214	1065738	lawr-ls2	38.2967	-121.379	7.3	10/12/2018 11:31	9.74	-2.44	2.4400245	12.1800245	T			
MW_218	284222	2083805	lawr-ls10	38.44834	-121.491277	4.876799844	12/7/2018 11:01	5.398007827	-0.521207983	8.7819	14.17990783	F			
MW_2				38.31263	-121.379										
MW_20				38.29666	-121.374										
OnetoAg				38.30271	-121.379										
MW_23				38.29174	-121.382										
MW_7				38.30517	-121.391										
MW_3				38.30967	-121.384										
MW_17				38.2967	-121.382										
MW_13				38.30101	-121.384										
MW_CP1				38.308542	-121.377228										
MW_14				38.301394	-121.378366										
